month,type,amount
2021-11-01,Total,14813
2021-12-01,Total,17084
2022-01-01,Total,17022
2022-02-01,Total,15377
2022-03-01,Total,16124
2022-04-01,Total,13931
2022-05-01,Total,13010
2022-06-01,Total,11996
2022-07-01,Total,13066
2022-08-01,Total,13071
2022-09-01,Total,12192
2022-10-01,Total,13665
2021-11-01,VarmekrEjF,197
2021-12-01,VarmekrEjF,345
2022-01-01,VarmekrEjF,210
2022-02-01,VarmekrEjF,145
2022-03-01,VarmekrEjF,189
2022-04-01,VarmekrEjF,171
2022-05-01,VarmekrEjF,167
2022-06-01,VarmekrEjF,159
2022-07-01,VarmekrEjF,150
2022-08-01,VarmekrEjF,153
2022-09-01,VarmekrEjF,136
2022-10-01,VarmekrEjF,139
2021-11-01,VarmekrF,1287
2021-12-01,VarmekrF,1649
2022-01-01,VarmekrF,1571
2022-02-01,VarmekrF,1347
2022-03-01,VarmekrF,1467
2022-04-01,VarmekrF,1255
2022-05-01,VarmekrF,988
2022-06-01,VarmekrF,760
2022-07-01,VarmekrF,715
2022-08-01,VarmekrF,752
2022-09-01,VarmekrF,837
2022-10-01,VarmekrF,920
2021-11-01,Vindkraft,2863
2021-12-01,Vindkraft,2996
2022-01-01,Vindkraft,4225
2022-02-01,Vindkraft,3636
2022-03-01,Vindkraft,3319
2022-04-01,Vindkraft,2236
2022-05-01,Vindkraft,2768
2022-06-01,Vindkraft,1856
2022-07-01,Vindkraft,2250
2022-08-01,Vindkraft,1939
2022-09-01,Vindkraft,2008
2022-10-01,Vindkraft,3469
2021-11-01,Vattenkraft,5509
2021-12-01,Vattenkraft,7089
2022-01-01,Vattenkraft,6039
2022-02-01,Vattenkraft,5857
2022-03-01,Vattenkraft,5845
2022-04-01,Vattenkraft,5572
2022-05-01,Vattenkraft,5072
2022-06-01,Vattenkraft,5282
2022-07-01,Vattenkraft,5576
2022-08-01,Vattenkraft,5686
2022-09-01,Vattenkraft,5633
2022-10-01,Vattenkraft,5109
2021-11-01,Karnkraft,4931
2021-12-01,Karnkraft,4996
2022-01-01,Karnkraft,4947
2022-02-01,Karnkraft,4336
2022-03-01,Karnkraft,5108
2022-04-01,Karnkraft,4475
2022-05-01,Karnkraft,3754
2022-06-01,Karnkraft,3666
2022-07-01,Karnkraft,4088
2022-08-01,Karnkraft,4256
2022-09-01,Karnkraft,3378
2022-10-01,Karnkraft,3914
2021-11-01,Solkraft,26
2021-12-01,Solkraft,9
2022-01-01,Solkraft,30
2022-02-01,Solkraft,56
2022-03-01,Solkraft,196
2022-04-01,Solkraft,222
2022-05-01,Solkraft,261
2022-06-01,Solkraft,273
2022-07-01,Solkraft,287
2022-08-01,Solkraft,285
2022-09-01,Solkraft,200
2022-10-01,Solkraft,114
